"NatIncr"
10.392
12.967
15.29
16.401
15.109
11.942
8.781
7.135
6.918
6.678
5.407
3.439
1.579
0.552
0.505
0.987
1.493
1.657
9.949
11.439
12.412
12.712
11.705
9.644
7.781
6.836
6.407
5.806
4.792
3.582
2.572
1.956
1.671
1.567
1.586
1.687
8.444
8.339
7.905
6.97
4.648
2.309
1.299
1.369
1.611
1.45
0.726
-0.32
-1.115
-1.336
-1.043
-0.519
-0.02
0.309
13.188
12.546
10.852
8.859
7.284
6.164
5.335
4.396
3.218
2.077
1.198
0.773
0.879
1.27
1.613
1.647
1.457
1.278
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
9.325
12.298
14.406
15.023
13.364
10.51
8.373
7.722
7.611
6.975
5.67
4.255
3.182
2.528
2.134
1.896
1.861
2.035
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
10.135
10.133
9.749
8.781
7.475
6.143
4.985
4.068
3.357
2.863
2.652
2.602
2.466
2.119
1.717
1.434
1.354
1.402
8.365
8.008
7.464
6.84
6.159
5.49
4.854
4.264
3.676
3.062
2.45
1.926
1.552
1.324
1.225
1.181
1.175
1.202
8.555
6.314
3.99
2.577
2.327
2.498
2.182
1.247
0.26
-0.228
-0.239
-0.187
-0.313
-0.441
-0.287
0.164
0.63
0.812
4.55
3.829
3.535
2.987
1.783
0.511
-0.222
-0.209
0.369
1.054
1.514
1.698
1.679
1.54
1.326
1.177
1.136
1.163
10.993
9.706
8.204
6.886
5.833
4.937
4.068
3.255
2.538
1.942
1.522
1.245
1.069
1.031
1.155
1.326
1.387
1.317
7.977
7.503
6.809
6.007
5.432
5.316
5.479
5.512
5.287
4.96
4.744
4.684
4.678
4.613
4.392
4.117
3.836
3.513
7.823
7.369
6.717
5.913
5.297
5.116
5.206
5.201
4.984
4.688
4.497
4.45
