"LocID","Time","AgeGrp"
48,1995,"85-89"
48,1995,"90-94"
48,1995,"95-99"
48,1995,"100+"
50,1995,"0-4"
50,1995,"5-9"
50,1995,"10-14"
50,1995,"15-19"
50,1995,"20-24"
50,1995,"25-29"
50,1995,"30-34"
50,1995,"35-39"
50,1995,"40-44"
50,1995,"45-49"
50,1995,"50-54"
50,1995,"55-59"
50,1995,"60-64"
50,1995,"65-69"
50,1995,"70-74"
50,1995,"75-79"
50,1995,"80-84"
50,1995,"85-89"
50,1995,"90-94"
50,1995,"95-99"
50,1995,"100+"
52,1995,"0-4"
52,1995,"5-9"
52,1995,"10-14"
52,1995,"15-19"
52,1995,"20-24"
52,1995,"25-29"
52,1995,"30-34"
52,1995,"35-39"
52,1995,"40-44"
52,1995,"45-49"
52,1995,"50-54"
52,1995,"55-59"
52,1995,"60-64"
52,1995,"65-69"
52,1995,"70-74"
52,1995,"75-79"
52,1995,"80-84"
52,1995,"85-89"
52,1995,"90-94"
52,1995,"95-99"
52,1995,"100+"
112,1995,"0-4"
112,1995,"5-9"
112,1995,"10-14"
112,1995,"15-19"
112,1995,"20-24"
112,1995,"25-29"
112,1995,"30-34"
112,1995,"35-39"
112,1995,"40-44"
112,1995,"45-49"
112,1995,"50-54"
112,1995,"55-59"
112,1995,"60-64"
112,1995,"65-69"
112,1995,"70-74"
112,1995,"75-79"
112,1995,"80-84"
112,1995,"85-89"
112,1995,"90-94"
112,1995,"95-99"
112,1995,"100+"
56,1995,"0-4"
56,1995,"5-9"
56,1995,"10-14"
56,1995,"15-19"
56,1995,"20-24"
56,1995,"25-29"
56,1995,"30-34"
56,1995,"35-39"
56,1995,"40-44"
56,1995,"45-49"
56,1995,"50-54"
56,1995,"55-59"
56,1995,"60-64"
56,1995,"65-69"
56,1995,"70-74"
56,1995,"75-79"
56,1995,"80-84"
56,1995,"85-89"
56,1995,"90-94"
56,1995,"95-99"
56,1995,"100+"
84,1995,"0-4"
84,1995,"5-9"
84,1995,"10-14"
84,1995,"15-19"
84,1995,"20-24"
84,1995,"25-29"
84,1995,"30-34"
84,1995,"35-39"
84,1995,"40-44"
84,1995,"45-49"
84,1995,"50-54"
84,1995,"55-59"
84,1995,"60-64"
84,1995,"65-69"
84,1995,"70-74"
84,1995,"75-79"
84,1995,"80-84"
84,1995,"85-89"
84,1995,"90-94"
84,1995,"95-99"
84,1995,"100+"
204,1995,"0-4"
204,1995,"5-9"
204,1995,"10-14"
204,1995,"15-19"
204,1995,"20-24"
204,1995,"25-29"
204,1995,"30-34"
204,1995,"35-39"
204,1995,"40-44"
204,1995,"45-49"
204,1995,"50-54"
204,1995,"55-59"
204,1995,"60-64"
204,1995,"65-69"
204,1995,"70-74"
204,1995,"75-79"
204,1995,"80-84"
204,1995,"85-89"
204,1995,"90-94"
204,1995,"95-99"
204,1995,"100+"
64,1995,"0-4"
64,1995,"5-9"
64,1995,"10-14"
64,1995,"15-19"
64,1995,"20-24"
64,1995,"25-29"
64,1995,"30-34"
64,1995,"35-39"
64,1995,"40-44"
64,1995,"45-49"
64,1995,"50-54"
64,1995,"55-59"
64,1995,"60-64"
64,1995,"65-69"
64,1995,"70-74"
64,1995,"75-79"
64,1995,"80-84"
64,1995,"85-89"
64,1995,"90-94"
64,1995,"95-99"
64,1995,"100+"
68,1995,"0-4"
68,1995,"5-9"
68,1995,"10-14"
68,1995,"15-19"
68,1995,"20-24"
68,1995,"25-29"
68,1995,"30-34"
68,1995,"35-39"
68,1995,"40-44"
68,1995,"45-49"
68,1995,"50-54"
68,1995,"55-59"
68,1995,"60-64"
68,1995,"65-69"
68,1995,"70-74"
68,1995,"75-79"
68,1995,"80-84"
68,1995,"85-89"
68,1995,"90-94"
68,1995,"95-99"
68,1995,"100+"
70,1995,"0-4"
70,1995,"5-9"
70,1995,"10-14"
70,1995,"15-19"
70,1995,"20-24"
70,1995,"25-29"
70,1995,"30-34"
70,1995,"35-39"
70,1995,"40-44"
70,1995,"45-49"
70,1995,"50-54"
70,1995,"55-59"
70,1995,"60-64"
70,1995,"65-69"
70,1995,"70-74"
70,1995,"75-79"
