"LocID","VarID","Time"
4,3,"1995-2000"
4,3,"2000-2005"
4,3,"2005-2010"
4,3,"2010-2015"
4,3,"2015-2020"
4,3,"2020-2025"
4,3,"2025-2030"
4,3,"2030-2035"
4,3,"2035-2040"
4,3,"2040-2045"
4,3,"2045-2050"
4,4,"1995-2000"
4,4,"2000-2005"
4,4,"2005-2010"
4,4,"2010-2015"
4,4,"2015-2020"
4,4,"2020-2025"
4,4,"2025-2030"
4,4,"2030-2035"
4,4,"2035-2040"
4,4,"2040-2045"
4,4,"2045-2050"
4,5,"1995-2000"
4,5,"2000-2005"
4,5,"2005-2010"
4,5,"2010-2015"
4,5,"2015-2020"
4,5,"2020-2025"
4,5,"2025-2030"
4,5,"2030-2035"
4,5,"2035-2040"
4,5,"2040-2045"
4,5,"2045-2050"
903,3,"1995-2000"
903,3,"2000-2005"
903,3,"2005-2010"
903,3,"2010-2015"
903,3,"2015-2020"
903,3,"2020-2025"
903,3,"2025-2030"
903,3,"2030-2035"
903,3,"2035-2040"
903,3,"2040-2045"
903,3,"2045-2050"
903,4,"1995-2000"
903,4,"2000-2005"
903,4,"2005-2010"
903,4,"2010-2015"
903,4,"2015-2020"
903,4,"2020-2025"
903,4,"2025-2030"
903,4,"2030-2035"
903,4,"2035-2040"
903,4,"2040-2045"
903,4,"2045-2050"
903,5,"1995-2000"
903,5,"2000-2005"
903,5,"2005-2010"
903,5,"2010-2015"
903,5,"2015-2020"
903,5,"2020-2025"
903,5,"2025-2030"
903,5,"2030-2035"
903,5,"2035-2040"
903,5,"2040-2045"
903,5,"2045-2050"
8,3,"1995-2000"
8,3,"2000-2005"
8,3,"2005-2010"
8,3,"2010-2015"
8,3,"2015-2020"
8,3,"2020-2025"
8,3,"2025-2030"
8,3,"2030-2035"
8,3,"2035-2040"
8,3,"2040-2045"
8,3,"2045-2050"
8,4,"1995-2000"
8,4,"2000-2005"
8,4,"2005-2010"
8,4,"2010-2015"
8,4,"2015-2020"
8,4,"2020-2025"
8,4,"2025-2030"
8,4,"2030-2035"
8,4,"2035-2040"
8,4,"2040-2045"
8,4,"2045-2050"
8,5,"1995-2000"
8,5,"2000-2005"
8,5,"2005-2010"
8,5,"2010-2015"
8,5,"2015-2020"
8,5,"2020-2025"
8,5,"2025-2030"
8,5,"2030-2035"
8,5,"2035-2040"
8,5,"2040-2045"
8,5,"2045-2050"
12,3,"1995-2000"
12,3,"2000-2005"
12,3,"2005-2010"
12,3,"2010-2015"
12,3,"2015-2020"
12,3,"2020-2025"
12,3,"2025-2030"
12,3,"2030-2035"
12,3,"2035-2040"
12,3,"2040-2045"
12,3,"2045-2050"
12,4,"1995-2000"
12,4,"2000-2005"
12,4,"2005-2010"
12,4,"2010-2015"
12,4,"2015-2020"
12,4,"2020-2025"
12,4,"2025-2030"
12,4,"2030-2035"
