"LExMale"
61.57
62.43
63.14
63.76
64.32
64.78
65.23
65.68
66.04
66.44
66.76
67.13
67.44
67.81
68.16
68.53
68.88
75.61
76.07
76.65
77.29
77.99
78.69
79.44
80.2
80.96
81.68
82.4
83.04
83.63
84.16
84.67
85.14
85.59
74.08
74.56
75.14
75.73
76.39
77.07
77.74
78.4
79.11
79.85
80.58
81.27
81.98
82.64
83.24
83.85
84.37
57.78
58.65
59.47
60.22
60.88
61.49
62.02
62.56
63.04
63.48
63.93
64.32
64.73
65.15
65.52
65.95
66.39
73.08
73.4
73.84
74.35
74.92
75.5
76.13
76.86
77.53
78.26
79.01
79.75
80.51
81.22
81.87
82.49
83.03
72.15
72.61
73.19
73.84
74.55
75.31
76.04
76.86
77.62
78.44
79.26
79.96
80.63
81.21
81.8
82.3
82.8
70.47
70.84
71.34
71.86
72.46
73.06
73.7
74.36
75.07
75.81
76.58
77.36
78.14
78.88
79.59
80.3
80.96
72.55
72.78
73.11
73.54
73.98
74.43
74.94
75.47
76.04
76.64
77.27
77.9
78.55
79.2
79.81
80.46
81.05
80.45
81.11
81.81
82.39
82.88
83.34
83.82
84.3
84.76
85.23
85.72
86.21
86.69
87.16
87.65
88.1
88.63
78.62
79.29
80.07
80.83
81.54
82.1
82.64
83.15
83.64
84.12
84.57
85.06
85.51
85.98
86.46
86.92
87.38
68.03
68.03
68.14
68.33
68.57
68.94
69.31
69.73
70.19
70.67
71.22
71.76
72.34
72.93
73.58
74.24
74.94
71.83
72.15
72.59
73.14
73.7
74.31
74.93
75.65
76.36
77.07
77.85
78.59
79.34
80.07
80.78
81.44
82.02
75.24
75.43
75.7
76.05
76.46
76.91
77.39
77.86
78.36
78.94
79.5
80.05
80.58
81.16
81.73
82.29
82.79
70.17
70.91
71.68
72.41
73.15
73.86
74.61
75.34
76.06
76.9
77.64
78.43
79.22
80.04
80.78
81.53
82.24
72.67
72.97
73.38
73.85
74.41
74.97
75.55
76.21
76.86
77.54
78.27
78.96
79.71
80.44
81.12
81.76
82.39
66.52
67.03
67.64
68.29
68.97
69.67
70.4
71.16
71.96
72.76
73.54
74.4
75.23
76.05
76.86
77.55
78.23
78.14
78.77
79.47
80.23
80.99
81.67
82.28
82.76
83.25
83.7
84.19
84.67
85.11
85.54
85.98
86.43
86.85
66.96
67.19
67.55
67.91
68.28
68.7
69.17
69.64
70.15
70.68
71.26
71.84
72.46
73.08
73.75
74.42
75.09
58.45
58.93
59.41
59.88
60.26
60.64
60.97
61.28
61.66
61.95
62.22
62.54
62.84
63.12
63.4
63.72
64.01
69.17
69.96
70.62
71.15
71.63
72.07
72.5
72.95
73.42
73.9
74.42
74.96
75.49
76.03
76.62
77.2
77.86
65.9
66.8
67.63
68.34
69.03
69.67
70.31
70.95
71.64
72.3
72.99
73.66
74.38
75.11
75.85
76.59
77.35
73.67
74.15
74.72
75.31
75.97
76.67
77.34
78.1
78.87
79.63
80.37
81.1
81.77
82.39
82.93
83.48
83.96
64.27
65.43
66.11
66.73
67.38
68.01
68.65
69.29
69.86
70.29
70.61
70.96
71.35
71.6
71.88
72.17
72.48
71.2
71.91
72.71
73.49
74.34
75.24
76.14
77.04
77.97
78.84
79.67
80.44
81.08
81.69
82.23
82.77
83.26
74.92
75.2
75.63
76.08
76.63
77.17
77.79
78.42
79.05
79.76
80.46
81.12
81.79
82.43
83.01
83.56
84.05
70.52
70.76
71.07
71.46
71.9
72.38
72.89
73.42
74.01
74.61
75.18
75.78
76.41
77.06
77.73
78.34
79
58.67
59.7
60.61
61.35
62.03
62.6
63.11
63.58
63.98
64.43
64.83
65.22
65.54
65.93
66.23
66.54
66.92
54.71
55.85
56.93
58
59.01
59.81
60.59
61.27
61.89
62.48
62.98
63.47
63.99
64.41
64.88
65.35
65.67
69.93
70.21
70.55
70.99
71.48
71.95
72.48
73.01
73.61
74.18
74.81
75.47
76.15
76.83
77.55
78.25
78.94
66.05
66.98
67.8
68.5
69.17
69.76
70.36
70.96
71.58
72.16
72.8
73.48
74.14
74.85
75.57
76.25
76.99
56.38
57.81
59.08
60.28
61.24
62.23
63.2
64.2
64.99
65.74
66.49
67.23
67.93
68.47
68.9
69.35
69.69
79.9
80.52
81.24
81.96
82.55
83.07
83.54
84.02
84.47
84.92
85.37
85.78
86.22
86.69
87.11
87.54
87.96
49.91
51.43
52.91
54.27
55.46
56.68
57.9
59.23
60.54
61.78
62.82
63.63
64.38
65.03
65.68
66.21
66.59
50.71
51.57
52.53
53.51
54.48
55.45
56.38
57.26
58.09
58.82
59.57
60.22
60.85
61.43
61.97
62.49
63
78.71
79.18
79.77
80.42
81.11
81.83
82.48
83.12
83.66
84.16
84.63
85.1
85.53
85.94
86.39
86.82
87.29
76.39
77.09
77.83
78.69
79.51
80.34
81.16
81.86
