"GrowthRate"
2.11
1.691
1.39
1.188
0.961
0.719
0.472
0.241
0.032
-0.169
-0.372
-0.583
-0.8
-1.003
-1.182
-1.326
-1.43
2.27
2.055
1.896
1.813
1.701
1.552
1.388
1.23
1.085
0.948
0.815
0.679
0.542
0.409
0.283
0.163
0.05
0.072
-0.133
-0.38
-0.576
-0.747
-0.89
-1.028
-1.146
-1.273
-1.405
-1.557
-1.772
-2.061
-2.381
-2.644
-2.775
-2.81
1.425
1.008
0.706
0.566
0.485
0.406
0.285
0.106
-0.092
-0.262
-0.389
-0.488
-0.567
-0.643
-0.719
-0.822
-0.95
-0.066
-0.055
-0.098
-0.129
-0.37
-0.61
-0.844
-1.003
-1.156
-1.32
-1.512
-1.773
-2.107
-2.503
-2.957
-3.466
-4.055
-0.396
0.019
-0.022
-0.031
-0.102
-0.25
-0.481
-0.747
-0.959
-1.091
-1.126
-1.095
-1.02
-0.925
-0.884
-0.942
-1.024
2.962
2.787
2.633
2.514
2.341
2.14
1.935
1.75
1.579
1.411
1.242
1.073
0.906
0.745
0.593
0.444
0.302
0.686
0.13
-0.111
-0.287
-0.48
-0.69
-0.894
-1.059
-1.174
-1.294
-1.402
-1.518
-1.607
-1.666
-1.704
-1.756
-1.789
0.786
0.608
0.432
0.303
0.151
-0.025
-0.206
-0.358
-0.462
-0.52
-0.561
-0.638
-0.759
-0.894
-1.015
-1.099
-1.155
0.765
0.575
0.432
0.354
0.263
0.161
0.048
-0.073
-0.194
-0.314
-0.428
-0.533
-0.633
-0.73
-0.825
-0.915
-0.994
-0.072
-0.354
-0.561
-0.673
-0.777
-0.908
-1.081
-1.243
-1.38
-1.523
-1.694
-1.89
-2.058
-2.164
-2.21
-2.242
-2.322
0.137
-0.052
-0.22
-0.367
-0.553
-0.747
-0.895
-0.962
-0.96
-0.945
-0.96
-1.033
-1.16
-1.317
-1.447
-1.51
-1.5
0.727
0.478
0.284
0.171
0.045
-0.101
-0.261
-0.414
-0.553
-0.67
-0.772
-0.877
-0.982
-1.079
-1.151
-1.205
-1.258
1.146
0.873
0.705
0.609
0.535
0.474
0.41
0.31
0.217
0.143
0.081
0.018
-0.05
-0.127
-0.187
-0.237
-0.293
1.077
0.823
0.66
0.564
0.484
0.417
0.349
0.247
0.157
0.088
0.033
-0.027
-0.093
-0.173
-0.237
-0.291
-0.346
0.1
0
-0.11
-0.185
-0.26
-0.333
-0.435
-0.563
-0.659
-0.698
-0.7
-0.711
-0.747
-0.792
-0.812
-0.822
-0.812
0.782
0.336
0.048
-0.068
-0.193
-0.372
-0.569
-0.72
-0.844
-0.95
-1.054
-1.147
-1.211
-1.226
-1.239
-1.28
-1.356
0.891
0.641
0.427
0.289
0.162
0.052
-0.059
-0.191
-0.305
-0.392
-0.475
-0.561
-0.657
-0.75
-0.816
-0.861
-0.892
1.363
0.874
0.609
0.486
0.348
0.122
-0.054
-0.239
-0.413
-0.576
-0.723
-0.862
-0.991
-1.102
-1.189
-1.252
-1.298
0.93
0.658
0.421
0.26
0.076
-0.122
-0.323
-0.507
-0.68
-0.852
-1.017
-1.184
-1.349
-1.5
-1.649
-1.773
-1.877
0.078
-0.108
-0.266
-0.366
-0.465
-0.564
-0.671
-0.752
-0.796
-0.809
-0.823
-0.846
-0.899
-0.96
-1.02
-1.085
-1.125
-0.456
-0.63
-0.779
-0.842
-0.871
-0.897
-0.953
-1.034
-1.106
