"LocID","VarID","Time","AgeGrp"
4,4,2040,"75-79"
4,4,2040,"80-84"
4,4,2040,"85-89"
4,4,2040,"90-94"
4,4,2040,"95-99"
4,4,2040,"100+"
4,4,2045,"0-4"
4,4,2045,"5-9"
4,4,2045,"10-14"
4,4,2045,"15-19"
4,4,2045,"20-24"
4,4,2045,"25-29"
4,4,2045,"30-34"
4,4,2045,"35-39"
4,4,2045,"40-44"
4,4,2045,"45-49"
4,4,2045,"50-54"
4,4,2045,"55-59"
4,4,2045,"60-64"
4,4,2045,"65-69"
4,4,2045,"70-74"
4,4,2045,"75-79"
4,4,2045,"80-84"
4,4,2045,"85-89"
4,4,2045,"90-94"
4,4,2045,"95-99"
4,4,2045,"100+"
4,5,1995,"0-4"
4,5,1995,"5-9"
4,5,1995,"10-14"
4,5,1995,"15-19"
4,5,1995,"20-24"
4,5,1995,"25-29"
4,5,1995,"30-34"
4,5,1995,"35-39"
4,5,1995,"40-44"
4,5,1995,"45-49"
4,5,1995,"50-54"
4,5,1995,"55-59"
4,5,1995,"60-64"
4,5,1995,"65-69"
4,5,1995,"70-74"
4,5,1995,"75-79"
4,5,1995,"80-84"
4,5,1995,"85-89"
4,5,1995,"90-94"
4,5,1995,"95-99"
4,5,1995,"100+"
4,5,2000,"0-4"
4,5,2000,"5-9"
4,5,2000,"10-14"
4,5,2000,"15-19"
4,5,2000,"20-24"
4,5,2000,"25-29"
4,5,2000,"30-34"
4,5,2000,"35-39"
4,5,2000,"40-44"
4,5,2000,"45-49"
4,5,2000,"50-54"
4,5,2000,"55-59"
4,5,2000,"60-64"
4,5,2000,"65-69"
4,5,2000,"70-74"
4,5,2000,"75-79"
4,5,2000,"80-84"
4,5,2000,"85-89"
4,5,2000,"90-94"
4,5,2000,"95-99"
4,5,2000,"100+"
4,5,2005,"0-4"
4,5,2005,"5-9"
4,5,2005,"10-14"
4,5,2005,"15-19"
4,5,2005,"20-24"
4,5,2005,"25-29"
4,5,2005,"30-34"
4,5,2005,"35-39"
4,5,2005,"40-44"
4,5,2005,"45-49"
4,5,2005,"50-54"
4,5,2005,"55-59"
4,5,2005,"60-64"
4,5,2005,"65-69"
4,5,2005,"70-74"
4,5,2005,"75-79"
4,5,2005,"80-84"
4,5,2005,"85-89"
4,5,2005,"90-94"
4,5,2005,"95-99"
4,5,2005,"100+"
4,5,2010,"0-4"
4,5,2010,"5-9"
4,5,2010,"10-14"
4,5,2010,"15-19"
4,5,2010,"20-24"
4,5,2010,"25-29"
4,5,2010,"30-34"
4,5,2010,"35-39"
4,5,2010,"40-44"
4,5,2010,"45-49"
4,5,2010,"50-54"
4,5,2010,"55-59"
4,5,2010,"60-64"
4,5,2010,"65-69"
4,5,2010,"70-74"
4,5,2010,"75-79"
4,5,2010,"80-84"
4,5,2010,"85-89"
4,5,2010,"90-94"
4,5,2010,"95-99"
4,5,2010,"100+"
4,5,2015,"0-4"
4,5,2015,"5-9"
4,5,2015,"10-14"
4,5,2015,"15-19"
4,5,2015,"20-24"
4,5,2015,"25-29"
4,5,2015,"30-34"
4,5,2015,"35-39"
4,5,2015,"40-44"
4,5,2015,"45-49"
4,5,2015,"50-54"
4,5,2015,"55-59"
4,5,2015,"60-64"
4,5,2015,"65-69"
4,5,2015,"70-74"
