"PASFR"
8.19
21.93
29.11
18.96
13.31
5.11
3.39
7.72
21.94
30.32
19.3
12.95
4.76
3.01
7.26
21.94
31.53
19.64
12.58
4.42
2.63
6.79
21.95
32.74
19.98
12.21
4.07
2.26
6.33
21.96
33.95
20.31
11.84
3.73
1.88
5.86
21.97
35.16
20.65
11.47
3.38
1.51
5.399
21.978
36.366
20.988
11.099
3.04
1.13
4.93
21.98
37.58
21.33
10.74
2.69
0.75
4.47
21.988
38.786
21.658
10.369
2.35
0.38
4
22
40
22
10
2
0
10.826
23.631
24.793
19.018
12.759
6.316
2.657
10.015
24.653
26.636
19.075
11.999
5.468
2.155
9.841
25.582
27.761
18.888
11.294
4.828
1.806
9.5
26.445
28.672
18.805
10.744
4.32
1.514
9.046
27.23
29.414
18.782
10.348
3.904
1.275
8.762
27.848
30.239
18.642
9.954
3.516
1.039
8.46
28.354
31.096
18.479
9.572
3.188
0.851
8.211
28.989
31.787
18.494
9.066
2.829
0.624
8.038
29.491
32.408
18.53
8.651
2.455
0.427
7.895
29.895
33.014
18.581
8.316
2.095
0.204
3.47
27.74
36.03
21.62
8.46
2.29
0.39
3.78
27.98
36.49
21.53
7.89
2
0.33
4.08
28.22
36.96
21.43
7.32
1.71
0.28
4.38
28.47
37.42
21.34
6.75
1.42
0.22
4.69
28.71
37.88
21.24
6.18
1.13
0.17
4.99
28.96
38.35
21.14
5.61
0.84
0.11
5.3
29.2
38.81
21.04
5.04
0.55
0.06
5.6
29.45
39.27
20.96
4.46
0.26
0
5.6
29.45
39.27
20.96
4.46
0.26
0
5.6
29.45
39.27
20.96
4.46
0.26
0
3.646
20.266
34.48
22.849
13.468
4.583
0.708
3.882
21.422
38.16
22.283
11.156
2.861
0.236
4
22
40
22
10
2
0
4
22
40
22
10
2
0
4
22
40
22
10
2
0
4
22
40
22
10
2
0
4
22
40
22
10
2
0
4
22
40
22
10
2
0
4
22
40
22
10
2
0
4
22
40
22
10
2
0
15.9
24.4
22.1
17.6
12.1
6.6
1.3
15.9
24.4
22.1
17.6
12.1
6.6
1.3
15.813
24.547
22.298
17.564
12.009
6.498
1.271
15.415
25.221
23.208
17.401
11.59
6.028
1.138
15.016
25.896
24.117
17.237
11.171
5.557
1.005
14.609
26.585
25.047
17.07
10.742
5.077
0.87
14.21
27.26
25.957
16.907
10.323
4.607
0.737
13.811
27.935
26.866
16.743
9.904
4.136
0.604
13.404
28.624
27.796
16.576
9.476
3.656
0.468
13.005
29.299
28.706
16.412
9.057
3.186
0.335
12.398
26.882
27.66
19.558
10.127
3.007
0.368
12.44
27.225
27.811
19.409
9.878
2.888
0.347
12.449
27.501
27.935
19.301
9.708
2.787
0.32
12.476
27.714
28
19.214
9.571
2.714
0.309
12.476
27.714
28
19.214
9.571
2.714
0.31
12.476
27.714
28
19.214
9.571
2.714
0.309
12.476
27.714
28
19.214
9.571
2.714
0.31
12.476
27.714
28
19.214
9.572
2.714
0.31
12.476
27.714
28
19.214
9.571
2.714
0.309
12.476
27.714
28
19.214
9.571
2.714
0.31
14.7
42.11
25.62
12.12
4.49
0.96
0
13.4
40.31
27.57
13.38
4.48
0.86
0
12.1
38.5
29.52
14.64
4.48
0.76
0
10.8
36.68
31.47
15.91
4.48
0.66
0
9.5
34.88
33.42
17.17
4.47
0.56
0
8.2
33.07
35.37
18.43
4.47
0.46
0
6.9
31.26
37.32
19.69
4.47
0.36
0
5.6
29.45
39.27
20.96
4.46
0.26
0
5.6
29.45
39.27
20.96
4.46
0.26
0
5.6
29.45
39.27
20.96
4.46
0.26
0
6.956
34.901
32.075
16.209
6.845
2.415
0.599
5.96
36.075
33.404
16.376
