"CDR"
12.394
11.172
10.006
8.851
7.814
7.05
6.564
6.27
6.117
14.763
13.708
12.579
11.559
10.687
9.988
9.415
8.949
8.601
6.647
6.891
7.071
7.328
7.713
8.127
8.65
9.122
9.491
4.927
4.892
4.926
5.079
5.442
6.039
6.788
7.595
8.449
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
21.057
19.47
17.736
16.112
14.632
13.348
12.233
11.277
10.486
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
7.659
7.618
7.604
7.655
7.807
8.065
8.42
8.818
9.264
9.542
9.952
10.192
10.331
10.563
11.126
11.992
12.949
13.708
NA
NA
NA
NA
NA
NA
NA
NA
NA
7.457
7.434
7.521
7.723
8.035
8.467
8.995
9.549
10.09
7.067
7.473
7.929
8.494
9.182
10.006
10.874
11.628
12.172
7.126
7.504
7.93
8.464
9.13
9.938
10.786
11.524
12.059
9.848
10.301
10.789
11.301
11.922
12.641
13.424
14.246
15.05
7.543
7.949
8.231
8.471
8.845
9.501
10.445
11.468
12.355
6.656
6.399
6.512
6.728
6.989
7.551
8.185
8.572
8.946
3.45
3.875
4.521
5.408
6.548
7.893
9.34
10.712
11.816
7.222
6.703
6.381
6.239
6.29
6.5
6.801
7.193
7.65
8.067
7.874
8.048
8.565
9.442
10.789
11.832
13.146
14.123
14.955
15.089
15.041
15.024
15.224
15.702
16.45
17.165
17.651
10.195
10.631
10.982
11.395
11.825
12.404
13.092
13.742
14.205
5.282
5.648
5.781
5.824
5.813
6.168
6.528
6.97
7.385
11.56
10.22
9.116
8.257
7.531
6.976
6.559
6.265
6.094
NA
NA
NA
NA
NA
NA
NA
NA
NA
7.908
7.233
6.669
6.244
5.976
5.848
5.852
5.974
6.25
7.56
7.08
6.717
6.49
6.389
6.389
6.506
6.727
7.045
9.842
11.149
12.324
13.189
13.851
14.501
15.141
15.83
16.425
28.435
28.201
25.348
23.992
22.336
21.1
19.751
17.977
15.747
6.505
6.667
6.809
7.063
7.427
7.884
8.414
8.993
9.592
NA
NA
NA
NA
NA
NA
NA
NA
NA
2.823
3.095
3.578
4.261
5.127
6.106
7.183
8.262
9.309
14.543
14.786
14.934
15.17
15.544
16.036
16.502
16.814
17.233
15.779
14.354
12.83
11.345
9.987
8.916
8.084
7.447
6.965
17.762
16.568
15.131
13.68
12.296
11.178
10.214
9.287
8.442
4.722
4.286
3.979
3.819
3.849
4.094
4.515
5.038
5.573
10.144
9.404
8.739
8.26
7.91
7.826
7.856
7.886
7.946
16.819
15.534
14.462
13.702
12.974
12.336
11.814
11.429
11.191
7.521
8.02
8.585
9.265
10.078
11.07
12.16
13.19
13.953
8.276
8.151
8.171
8.315
8.506
8.852
9.251
9.685
10.159
NA
NA
NA
NA
NA
NA
NA
NA
NA
21.776
20.277
18.844
17.474
16.176
15.036
13.99
13.031
12.166
4.725
4.78
4.928
5.163
5.498
5.95
6.509
7.168
7.926
19.454
17.841
16.023
14.286
12.758
11.467
10.336
9.362
8.571
9.573
9.613
9.917
10.509
11.321
12.304
13.284
14.144
14.802
5.364
5.795
6.277
6.827
7.467
8.209
9.039
9.906
10.737
7.096
7.605
8.221
8.925
9.714
10.618
11.598
12.534
13.354
5.989
6.792
7.607
8.511
9.608
10.993
12.727
14.715
16.792
4.851
5.469
6.205
7.16
8.535
10.406
12.648
14.951
16.947
5.396
5.563
5.792
6.104
6.302
6.903
7.531
8.185
8.803
6.454
5.679
5.163
4.877
4.761
4.771
4.904
5.166
5.529
12.224
11.269
10.135
8.965
7.993
7.245
6.651
6.198
5.88
NA
NA
NA
NA
NA
NA
NA
NA
NA
4.084
4.345
4.699
5.168
5.774
6.519
7.396
8.353
9.317
12.071
12.683
13.13
13.435
13.817
14.385
15.012
15.53
15.859
6.968
7.255
7.815
8.595
9.466
10.474
11.604
12.786
14.113
7.413
7.78
8.231
8.82
9.536
10.32
11.096
11.786
12.351
11.11
11.567
12.068
12.623
13.44
14.366
15.132
15.648
16.059
16.664
15.746
14.423
13.061
11.858
10.804
9.801
8.916
8.231
10.674
10.71
10.832
10.982
11.197
11.503
11.965
12.505
13.024
19.158
17.884
16.306
14.671
13.166
11.857
10.763
9.886
9.219
10.677
10.788
11.084
11.531
12.098
12.67
13.123
13.415
13.541
11.912
10.908
10.046
9.275
8.616
8.198
7.926
7.781
7.754
NA
NA
NA
NA
NA
NA
NA
NA
NA
6.241
6.036
6.042
6.213
6.308
6.71
7.176
7.679
8.222
15.899
14.407
12.974
11.694
10.617
9.777
9.112
8.575
8.183
7.249
7.78
8.409
9.116
9.9
10.787
11.738
12.648
13.446
14.582
14.785
14.774
14.807
15.068
15.548
16.112
16.561
16.819
5.037
5.191
5.404
5.668
5.988
6.389
6.892
7.473
8.105
5.655
5.467
5.367
5.427
5.625
5.912
6.243
6.565
6.914
5.749
5.696
5.694
5.757
5.896
6.133
6.477
6.933
7.506
20.935
20.708
19.669
18.005
16.212
14.801
13.682
12.666
11.795
10.115
8.987
8.163
7.487
7.021
6.752
6.6
6.53
6.568
13.551
13.565
13.571
13.556
13.664
13.923
14.275
14.608
14.776
15.431
14.474
13.325
12.097
11.037
10.242
9.619
9.11
8.745
11.954
12.272
12.506
12.755
13.125
13.65
14.254
14.813
15.251
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
6.354
6.53
6.822
7.205
7.503
7.697
7.993
8.336
8.731
9.771
10.166
10.598
11.11
11.741
12.409
12.988
13.305
13.289
9.556
9.811
10.079
10.318
10.62
11.107
11.677
12.165
12.462
3.756
4.007
4.385
4.848
5.392
5.996
6.61
7.165
7.638
5.021
5.314
5.691
6.173
6.764
7.41
8.117
8.83
9.486
12.987
13.036
12.72
12.183
11.434
10.807
10.18
9.544
8.953
10.768
9.651
8.846
8.264
7.831
7.569
7.409
7.368
7.416
11.688
12.051
12.247
12.399
12.638
13.107
13.844
14.591
15.178
10.821
11.511
12.189
12.81
13.406
14.062
14.796
15.597
16.382
10.252
9.567
9.003
8.526
8.16
7.928
7.789
7.751
7.815
NA
NA
NA
NA
NA
NA
NA
NA
NA
10.594
11.411
12.109
12.65
13.144
13.799
14.663
15.68
16.734
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
6.29
6.559
6.93
7.388
7.966
8.684
9.471
10.284
11.015
4.993
5.374
5.755
6.14
6.621
7.205
7.825
8.383
8.813
6.203
5.847
5.511
5.242
5.077
5.016
5.045
5.171
5.399
12.812
11.908
10.805
9.647
8.615
7.793
7.139
6.665
6.333
18.952
17.144
15.245
13.51
11.959
10.57
9.35
8.328
7.525
8.325
7.976
7.947
8.074
8.425
9.025
9.684
10.428
11.187
12.661
11.744
10.928
10.223
9.675
9.271
8.93
8.695
8.564
NA
NA
NA
NA
NA
NA
NA
NA
NA
5.817
5.672
5.65
5.658
5.715
5.841
6.046
6.35
6.812
12.877
13.066
13.303
13.61
14.075
14.636
15.118
15.527
15.832
6.467
6.717
6.998
7.353
7.841
8.489
9.223
9.939
10.503
8.324
7.898
7.633
7.541
7.602
7.825
8.17
8.588
9.043
7.142
7.126
7.295
7.597
7.944
8.321
8.877
9.546
10.286
5.194
5.033
4.919
5.042
5.449
6.092
6.828
7.568
8.387
8.412
6.34
5.325
4.882
4.817
4.9
5.119
5.447
5.839
7.326
7.384
7.611
8.022
8.602
9.291
9.995
10.677
11.319
NA
NA
NA
NA
NA
NA
NA
NA
NA
5.579
5.712
5.839
6.018
6.262
6.637
7.098
7.521
7.866
10.645
11.317
11.993
12.605
13.148
13.736
14.397
15.111
15.861
7.667
7.462
7.289
7.234
7.332
7.612
8.036
8.57
9.132
8.785
9.665
10.562
11.453
12.276
12.97
13.531
13.982
14.304
3.981
3.94
4.025
4.209
4.491
4.903
5.447
6.138
6.915
10.832
10.89
10.793
10.756
10.923
11.342
11.892
12.426
12.867
13.758
11.166
9.272
8.159
7.523
7.13
6.864
6.71
6.713
NA
NA
NA
NA
NA
NA
NA
NA
NA
1.987
2.422
3.066
3.936
5.035
6.361
