"LocID","Time"
108,"2025-2030"
108,"2030-2035"
108,"2035-2040"
108,"2040-2045"
108,"2045-2050"
132,"2005-2010"
132,"2010-2015"
132,"2015-2020"
132,"2020-2025"
132,"2025-2030"
132,"2030-2035"
132,"2035-2040"
132,"2040-2045"
132,"2045-2050"
116,"2005-2010"
116,"2010-2015"
116,"2015-2020"
116,"2020-2025"
116,"2025-2030"
116,"2030-2035"
116,"2035-2040"
116,"2040-2045"
116,"2045-2050"
120,"2005-2010"
120,"2010-2015"
120,"2015-2020"
120,"2020-2025"
120,"2025-2030"
120,"2030-2035"
120,"2035-2040"
120,"2040-2045"
120,"2045-2050"
124,"2005-2010"
124,"2010-2015"
124,"2015-2020"
124,"2020-2025"
124,"2025-2030"
124,"2030-2035"
124,"2035-2040"
124,"2040-2045"
124,"2045-2050"
915,"2005-2010"
915,"2010-2015"
915,"2015-2020"
915,"2020-2025"
915,"2025-2030"
915,"2030-2035"
915,"2035-2040"
915,"2040-2045"
915,"2045-2050"
136,"2005-2010"
136,"2010-2015"
136,"2015-2020"
136,"2020-2025"
136,"2025-2030"
136,"2030-2035"
136,"2035-2040"
136,"2040-2045"
136,"2045-2050"
140,"2005-2010"
140,"2010-2015"
140,"2015-2020"
140,"2020-2025"
140,"2025-2030"
140,"2030-2035"
140,"2035-2040"
140,"2040-2045"
140,"2045-2050"
916,"2005-2010"
916,"2010-2015"
916,"2015-2020"
916,"2020-2025"
916,"2025-2030"
916,"2030-2035"
916,"2035-2040"
916,"2040-2045"
916,"2045-2050"
148,"2005-2010"
148,"2010-2015"
148,"2015-2020"
148,"2020-2025"
148,"2025-2030"
148,"2030-2035"
148,"2035-2040"
148,"2040-2045"
148,"2045-2050"
830,"2005-2010"
830,"2010-2015"
830,"2015-2020"
830,"2020-2025"
830,"2025-2030"
830,"2030-2035"
830,"2035-2040"
830,"2040-2045"
830,"2045-2050"
152,"2005-2010"
152,"2010-2015"
152,"2015-2020"
152,"2020-2025"
152,"2025-2030"
152,"2030-2035"
152,"2035-2040"
152,"2040-2045"
152,"2045-2050"
156,"2005-2010"
156,"2010-2015"
156,"2015-2020"
156,"2020-2025"
156,"2025-2030"
156,"2030-2035"
156,"2035-2040"
156,"2040-2045"
156,"2045-2050"
344,"2005-2010"
344,"2010-2015"
344,"2015-2020"
344,"2020-2025"
344,"2025-2030"
344,"2030-2035"
344,"2035-2040"
344,"2040-2045"
344,"2045-2050"
446,"2005-2010"
446,"2010-2015"
446,"2015-2020"
446,"2020-2025"
446,"2025-2030"
446,"2030-2035"
446,"2035-2040"
446,"2040-2045"
446,"2045-2050"
170,"2005-2010"
170,"2010-2015"
170,"2015-2020"
170,"2020-2025"
