TPopulationFemale1July
3966525.558
4002581.957
4040722.51
4079288.039
4118093.539
4157144.885
4196450.233
4236017.626
4275856.713
4315974.161
4356365.162
4397022.838
4437940.726
4479100.78
4520481.538
4562062.551
4603813.376
4645704.41
4687714.174
4729832.102
4772050.246
4814368.654
4856802.702
4899374.483
4942125.698
4985103.442
5028358.618
5071966.206
5116003.223
5160540.461
5205655.362
5251430.569
5297945.625
5345275.395
5393486.651
5442656.175
5492872.301
5544206.474
5596728.736
5650514.117
5705625.804
5762140.392
5820127.608
5879644.92
5940754.575
6003521.238
6068009.699
6134274.456
6202380.498
6272400.716
6344389.87
6418412.29
6494558.964
6572913.919
6653556.838
6736594.736
6822142.081
6910300.814
7001193.318
7094944.601
7191683.539
7291562.219
7394713.434
7501273.888
7611400.864
7725232.004
7842901.168
7964545.212
8090298.55
8220298.676
8354663.879
8493518.79
8637007.785
8785259.389
8938408.455
9096601.027
9259990.681
9428756.438
9603062.574
NA
585457.979
600321.686
615868.378
632023.852
648731.609
666009.304
683866.476
702310.598
721349.596
740989.38
761234.6
782088.904
803556.558
825641.578
848347.542
871678.289
895637.626
920231.664
945470.132
971367.58
997941.97
1025215.453
1053213.778
1081964.509
1111498.728
1141849.914
1173050.313
1205134.204
1238140.228
1272105.271
1307068.048
1343068.106
1380143.28
1418332.944
1457676.46
1498214.343
1539988.227
1583037.109
1627401.463
1673124.116
1720247.456
1768813.289
1818864.54
1870447.556
1923610.592
1978401.528
2034870.068
2093067.892
2153049.814
2214875.38
2278603.556
2344295.898
2412020.831
2481846.259
2553842.944
2628089.264
2704666.101
2783655.192
2865142.632
2949216.929
3035965.692
3125489.68
3217887.352
3313255.85
3411704.89
3513338.688
3618262.727
3726594.115
3838455.222
3953968.484
4073253.448
4196438.624
4323662.69
4455061.416
4590778.338
4730956.252
4875748.144
5025321.759
5179832.404
NA
269253.518
273584.631
278003.776
282479.06
286978.781
291511.238
296083.402
300699.629
305364.74
310084.546
314866.872
319719.499
324645.938
329643.905
334708.809
339834.941
345016.309
350246.959
355520.649
360831.672
366175.185
371547.328
376944.898
382365.789
387809.192
393274.923
398763.485
404276.954
409818.112
415390.013
420996.597
426642.707
432333.567
438073.866
443868.291
449721.94
455639.876
461626.52
467685.739
473821.248
480036.821
486335.225
492718.883
499191.216
505754.525
512409.873
519159.52
526006.068
532951.217
539997.884
547150.166
