"CNMR"
0
0
0
0
0
-15.156
-47.723
-21.312
40.139
-3.912
12.735
10.544
-0.12
-0.106
-0.094
-0.084
-0.076
-0.07
-0.064
-0.06
-0.474
-0.528
-0.958
-0.555
-1.18
-0.491
-0.328
-0.526
-0.57
-0.452
-0.2
-0.169
-0.215
-0.191
-0.173
-0.16
-0.149
-0.14
-0.131
-0.124
0.359
0.383
0.289
0.149
0.084
-0.438
-0.339
1.464
-24.712
-19.053
-6
-4.272
-4.015
-2.862
-2.787
-2.736
-2.706
-2.692
-2.694
-2.712
-6.264
-8.445
-11.231
-3.118
-2.067
-0.277
0.82
-0.597
-1.134
-1.789
-0.634
-0.585
-0.543
-0.509
-0.482
-0.462
-0.446
-0.432
-0.421
-0.414
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
-0.7
-0.865
-4.709
-5.781
-3.005
0.577
6.12
-3.405
2.832
-2.066
3.281
1.877
-0.078
-0.068
-0.059
-0.052
-0.046
-0.041
-0.037
-0.034
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
3.437
1.416
1.166
1.081
2.319
-1.625
0.548
0.764
0.713
0.668
0.314
0.149
0.141
0.135
0.13
0.125
0.122
0.119
0.116
0.114
6.197
9.43
5.648
7.192
5.928
1.221
-2.895
-3.946
-23.293
-17.09
-6.499
-4.972
-3.359
-2.717
-2.762
-2.831
-2.921
-3.033
-3.169
-3.335
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
0.091
0.129
0.015
0.09
-0.128
-0.238
-0.126
-0.29
-0.4
-0.439
-0.34
-0.308
-0.272
-0.27
-0.262
-0.255
-0.249
-0.245
-0.243
-0.241
8.915
8.31
7.448
8.198
9.636
1.126
5.924
7.469
5.766
5.158
4.587
4.386
4.076
3.706
3.501
3.401
3.32
3.255
3.201
3.153
8.391
7.453
6.708
6.72
8.88
-0.332
4.995
5.898
5.554
4.651
4.046
3.875
3.613
3.302
3.127
3.043
2.974
2.922
2.88
2.844
-2.414
-1.473
0.296
1.351
2.073
0.048
0.742
3.571
6.644
1.115
1.726
1.727
1.733
1.741
1.75
1.762
1.782
1.809
1.843
1.879
-0.956
1.993
-1.383
-1.488
-0.499
-2.424
-3.351
-4.91
-2.978
-4.601
-3.356
-1.371
-1.519
-1.656
-1.592
-1.545
-1.512
-1.487
-1.471
-1.464
-5.155
15.491
19.211
12.473
-1.876
-0.618
0
0
3.714
0
0
0
0
0
0
0
0
0
0
0
0.319
1.133
7.03
-5.495
14.121
20.378
6.677
6.651
13.005
8.864
4.891
4.423
4.05
3.745
3.494
3.288
3.119
2.985
2.879
2.794
-0.046
-0.041
-0.063
-0.118
-0.096
-0.105
-0.202
-0.244
-0.447
-0.459
-0.413
-0.375
-0.344
-0.319
-0.327
-0.317
-0.31
-0.331
-0.344
-0.358
-4.726
-18.56
-16.004
-12.299
-6.4
-6.254
-6.454
-3.491
-0.962
-0.943
-0.926
-0.911
-0.899
-0.89
-0.885
-0.884
-0.89
-0.903
-0.925
-0.953
-10.021
-4.374
-5.34
0.094
-1.003
-0.549
0.219
-0.52
0.286
0.283
-0.202
-0.206
-0.21
-0.215
-0.22
-0.227
-0.234
-0.242
-0.25
-0.26
0.742
1.187
1.761
1.085
1.514
0.457
-0.708
1.042
1.7
0.965
1.3
1.289
1.282
1.278
1.275
1.274
1.277
1.283
1.293
1.305
-7.188
-4.118
-4.273
-4.589
-15.635
-19.87
-6.519
-4.377
-1.503
-1.323
-1.185
-1.076
-0.989
-0.92
-0.865
-0.822
-0.788
-0.76
-0.737
-0.72
-5.996
-7.999
-7.003
-5.72
-5.035
-4.848
-3.747
-3.232
1.836
-3.198
-0.75
-0.527
-0.35
-0.312
-0.282
-0.258
-0.239
-0.222
-0.208
-0.197
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
0
0
0
0
0
0
0
0
-13.675
-0.516
3.592
