TPopulationMale1July
4006962.411
4038125.55
4071072.082
4103840.59
4136228.201
4168206.663
4199771.136
4230930.478
4261702.9
4292102.569
4322147.886
4351862.679
4381259.686
4410347.366
4439125.442
4467573.162
4495655.396
4523316.436
4550474.361
4577040.111
4602935.382
4628085.756
4652436.153
4675960.654
4698640.066
4720454.277
4741409.159
4761534.92
4780869.122
4799471.719
4817414.398
4834757.84
4851560.526
4867869.092
4883717.74
4899144.662
4914174.498
4928827.464
4943120.906
4957059.318
4970657.982
4983931.014
4996878.952
5009502.948
5021793.571
5033737.974
5045329.918
5056566.281
5067426.706
5077902.107
5087997.575
5097702.192
5107007.745
5115915.202
5124440.04
5132594.376
5140387.439
5147848.334
5155016.884
5161936.322
5168658.995
5175240.626
5181728.442
5188166.818
5194599.719
5201064.084
5207581.604
5214176.996
5220869.475
5227651.446
5234522.688
5241479.897
5248513.008
5255620.182
5262793.151
5270015.394
5277285.534
5284607.663
5291977.872
NA
576686.704
582302.246
588397.75
594848.254
601567.65
608533.261
615739.875
623183.477
630860.802
638767.543
646899.397
655253.734
663826.397
672611.417
681597.838
690761.613
700061.499
709438.366
718821.03
728137.13
737325.917
746341.746
755151.549
763732.452
772066.398
780138.96
787940.902
795464.717
802705.77
809665.032
816348.402
822768.719
828942.471
834887.463
840622.235
846163.685
851530.576
856741.567
861814.304
866766.908
871615.342
876374.497
881055.812
885667.046
890209.818
894679.532
899066.885
903359.069
907540.392
911596.125
915512.836
919277.825
922878.821
926301.29
929534.708
932570.865
935402.544
938026.296
940441.53
942654.172
944671.973
946502.807
948162.08
949666.349
951028.98
952267.203
953398.585
954440.31
955411.014
956327.194
957207.658
958070.592
958931.662
959807.172
960711.667
961657.919
962657.699
963719.26
964850.343
NA
283749.083
286662.807
289645.802
292661.412
295679.911
298701.774
301729.343
304765.721
307814.46
310879.351
313964.238
317072.478
320205.251
323361.905
326539.95
329734.771
332939.787
336145.366
339338.757
342505.186
345628.041
348691.313
351680.572
354582.774
357387.931
360089.002
362681.262
365162.516
367533.299
369795.48
371952.55
374009.813
375973.006
