Q1550Female
61.2972
61.8661
62.4232
62.9452
63.4331
63.8911
64.3298
64.7801
65.2503
65.738
66.254
66.7663
67.2688
67.807
68.3895
68.91
69.3273
69.738
70.1695
70.5625
70.8814
71.1688
71.4338
71.675
71.8903
72.0821
72.2497
72.3912
72.5213
72.6296
72.7008
72.7495
72.7827
72.8018
72.8086
72.8063
72.7943
72.7678
72.7176
72.6387
72.5511
72.448
72.3235
72.1758
72.0044
71.8215
71.5752
71.2434
70.8244
70.3058
70.1459
70.3919
70.6157
70.8156
70.991
71.1425
71.2701
71.374
71.4544
71.5118
71.5466
71.5597
71.5518
71.5238
71.4765
71.4114
71.3306
71.2375
71.1361
71.0303
70.9233
70.8172
70.7131
70.6115
70.5127
70.417
70.324700000000007
70.2368
70.1543
NA
155.2347
155.1404
155.0673
155.0146
154.9755
154.9425
154.9089
154.8711
154.8273
154.7764
154.7187
154.654
154.5885
154.5318
154.4864
154.4352
154.359
154.2789
154.2022
154.1341
154.07
154.0082
153.9509
153.9018
153.8633
153.8342
153.8097
153.7874
153.7685
153.7551
153.7481
153.7435
153.7398
153.7385
153.7376
153.7343
153.7217
153.7014
153.6799
153.6559
153.6293
153.6038
153.5852
153.5781
153.5844
153.6001
153.6241
153.6568
153.6948
153.7338
153.7343
153.6648
153.5977
153.5339
153.4719
153.4105
153.3496
153.2892
153.2291
153.1696
153.1107
153.0527
152.9958
152.9402
152.8861
152.8337
152.783
152.7342
152.6874
152.6426
152.6001
152.56
152.5221
152.4858
152.4506
152.4154
152.3793
152.3415
152.3015
NA
39.6989
39.8776
40.0652
40.2557
40.4513
40.647
40.8379
41.0269
41.2139
41.4026
41.5929
41.7839
41.9772
42.1716
42.3669
42.5386
42.6741
42.8015
42.9215
43.0357
43.1393
43.2322
43.3197
43.3992
43.4764
43.5495
43.6082
43.651
43.6813
43.7106
43.7328
43.74
43.7441
43.7512
43.7601
43.7684
43.7759
43.782
43.7814
43.7723
43.7577
43.7327
43.6938
43.6424
43.5834
43.5166
43.4301
43.3192
43.1821
43.0139
42.9513
43.0447
43.1308
43.2092
43.279
43.3404
43.3933
43.4379
43.4743
43.5027
43.5234
43.5364
43.5419
43.5397
43.5302
43.5134
43.4899
43.4603
43.4257
43.3875
43.3471
43.3061
43.266
43.2277
43.1923
43.1604
43.1326
43.1091
43.09
NA
68.2331
68.2239
68.2104
68.1981
68.1902
68.1875
68.194
68.2097
68.233
68.2647
68.3032
68.346
68.3933
68.4441
68.4918
68.538
68.5864
68.6377
68.6917
68.7418
68.7806
68.8069
68.8235
68.8298
68.8262
68.8187
68.8104
68.8017
68.7918
68.7781
68.762
68.7458
68.7296
68.7137
68.6995
68.6889
68.6829
68.6788
68.6746
68.6718
68.6716
68.6743
68.6824
68.6888
68.6836
68.6709
68.6528
68.6325
68.621
68.6256
68.6396
68.6548
68.6683
68.6789
68.6864
68.6912
68.6932
68.6926
68.6897
68.6848
68.6782
68.6702
68.6609
68.6505
68.6391
68.6267
68.6134
68.5998
68.5867
68.5749
68.5651
68.5573
68.5517
68.5481
68.5466
68.5469
68.5488
68.5521
68.5564
NA
34.6755
34.8624
35.0379
35.1775
35.279
35.3487
35.393
35.4426
35.5089
35.5895
35.693600000000004
