Q0060
186.8895
186.5439
187.0214
187.6216
188.3153
189.0545
189.9437
190.9812
192.0934
193.2595
194.428
195.5918
196.7199
197.7505
198.6808
199.5249
200.2921
201.0299
201.7406
202.4158
203.0881
203.6756
204.1747
204.6998
205.2723
205.9085
206.5625
207.2227
207.9413
208.5843
209.0727
209.4995
209.8833
210.2233
210.5209
210.7808
211.0011
211.1831
211.3545
211.488
211.5544
211.5851
211.5995
211.6063
211.6116
211.6171
211.6159
211.5956
211.5356
211.424
211.3011
211.1547
210.9736
210.7498
210.4822
210.2026
209.7974
209.2202
208.4677
207.5017
207.1322
207.4537
207.7473
208.0085
208.2366
208.4317
208.593
208.7202
208.8128
208.871
208.8952
208.8862
208.8458
208.7757
208.6772
208.5528
208.4054
208.24
208.0625
NA
364.8762
364.166
363.9218
363.6848
363.4603
363.2419
363.0303
362.8324
362.6588
362.5139
362.4053
362.3378
362.3092
362.3127
362.3282
362.3385
362.3284
362.2877
362.2122
362.105
361.9721
361.8156
361.6447
361.4695
361.2904
361.107
360.9248
360.7445
360.5776
360.4269
360.2818
360.1406
360.0078
359.8879
359.7875
359.7093
359.6464
359.5946
359.5566
359.5329
359.5208
359.5125
359.5013
359.4898
359.4791
359.4681
359.4465
359.4195
359.3957
359.3682
359.332
359.2895
359.2463
359.2117
359.1907
359.1786
359.1731
359.1759
359.1846
359.193
359.1437
358.995
358.8548
358.7233
358.597
358.4755
358.3583
358.2446
358.1344
358.0276
357.9252
357.8261
357.7307
357.6387
357.5492
357.4636
357.3814
357.3029
357.2291
NA
146.4471
146.1478
146.184
146.3222
146.5197
146.7431
147.0565
147.4043
147.7266
148.0906
148.4858
148.9109
149.3656
149.8366
150.3292
150.8328
151.3305
151.8214
152.304
152.7834
153.2528
153.6997
154.1276
154.5398
154.9398
155.3261
155.6984
156.0633
156.4241
156.7816
157.114
157.4179
157.7105
157.9768
158.2215
158.4379
158.594
158.6926
158.7529
158.8035
158.8385
158.8432
158.8459
158.8588
158.8848
158.921
158.9594
