"LocID","Time"
4,"1950-1955"
4,"1955-1960"
4,"1960-1965"
4,"1965-1970"
4,"1970-1975"
4,"1975-1980"
4,"1980-1985"
4,"1985-1990"
4,"1990-1995"
4,"1995-2000"
4,"2000-2005"
4,"2005-2010"
4,"2010-2015"
4,"2015-2020"
4,"2020-2025"
4,"2025-2030"
4,"2030-2035"
4,"2035-2040"
4,"2040-2045"
4,"2045-2050"
903,"1950-1955"
903,"1955-1960"
903,"1960-1965"
903,"1965-1970"
903,"1970-1975"
903,"1975-1980"
903,"1980-1985"
903,"1985-1990"
903,"1990-1995"
903,"1995-2000"
903,"2000-2005"
903,"2005-2010"
903,"2010-2015"
903,"2015-2020"
903,"2020-2025"
903,"2025-2030"
903,"2030-2035"
903,"2035-2040"
903,"2040-2045"
903,"2045-2050"
8,"1950-1955"
8,"1955-1960"
8,"1960-1965"
8,"1965-1970"
8,"1970-1975"
8,"1975-1980"
8,"1980-1985"
8,"1985-1990"
8,"1990-1995"
8,"1995-2000"
8,"2000-2005"
8,"2005-2010"
8,"2010-2015"
8,"2015-2020"
8,"2020-2025"
8,"2025-2030"
8,"2030-2035"
8,"2035-2040"
8,"2040-2045"
8,"2045-2050"
12,"1950-1955"
12,"1955-1960"
12,"1960-1965"
12,"1965-1970"
12,"1970-1975"
12,"1975-1980"
12,"1980-1985"
12,"1985-1990"
12,"1990-1995"
12,"1995-2000"
12,"2000-2005"
12,"2005-2010"
12,"2010-2015"
12,"2015-2020"
12,"2020-2025"
12,"2025-2030"
12,"2030-2035"
12,"2035-2040"
12,"2040-2045"
12,"2045-2050"
16,"1950-1955"
16,"1955-1960"
16,"1960-1965"
16,"1965-1970"
16,"1970-1975"
16,"1975-1980"
16,"1980-1985"
16,"1985-1990"
16,"1990-1995"
16,"1995-2000"
16,"2000-2005"
16,"2005-2010"
16,"2010-2015"
16,"2015-2020"
16,"2020-2025"
16,"2025-2030"
16,"2030-2035"
16,"2035-2040"
16,"2040-2045"
16,"2045-2050"
20,"1950-1955"
20,"1955-1960"
20,"1960-1965"
20,"1965-1970"
20,"1970-1975"
20,"1975-1980"
20,"1980-1985"
20,"1985-1990"
20,"1990-1995"
20,"1995-2000"
20,"2000-2005"
20,"2005-2010"
20,"2010-2015"
20,"2015-2020"
20,"2020-2025"
20,"2025-2030"
20,"2030-2035"
20,"2035-2040"
20,"2040-2045"
20,"2045-2050"
24,"1950-1955"
24,"1955-1960"
24,"1960-1965"
24,"1965-1970"
24,"1970-1975"
24,"1975-1980"
24,"1980-1985"
24,"1985-1990"
24,"1990-1995"
24,"1995-2000"
24,"2000-2005"
24,"2005-2010"
24,"2010-2015"
24,"2015-2020"
24,"2020-2025"
24,"2025-2030"
24,"2030-2035"
24,"2035-2040"
24,"2040-2045"
24,"2045-2050"
660,"1950-1955"
660,"1955-1960"
660,"1960-1965"
660,"1965-1970"
660,"1970-1975"
660,"1975-1980"
660,"1980-1985"
660,"1985-1990"
660,"1990-1995"
660,"1995-2000"
660,"2000-2005"
660,"2005-2010"
660,"2010-2015"
660,"2015-2020"
660,"2020-2025"
660,"2025-2030"
660,"2030-2035"
660,"2035-2040"
660,"2040-2045"
660,"2045-2050"
28,"1950-1955"
28,"1955-1960"
28,"1960-1965"
28,"1965-1970"
28,"1970-1975"
28,"1975-1980"
28,"1980-1985"
28,"1985-1990"
28,"1990-1995"
28,"1995-2000"
28,"2000-2005"
28,"2005-2010"
28,"2010-2015"
28,"2015-2020"
28,"2020-2025"
28,"2025-2030"
28,"2030-2035"
28,"2035-2040"
28,"2040-2045"
28,"2045-2050"
32,"1950-1955"
32,"1955-1960"
32,"1960-1965"
32,"1965-1970"
32,"1970-1975"
32,"1975-1980"
32,"1980-1985"
32,"1985-1990"
32,"1990-1995"
32,"1995-2000"
32,"2000-2005"
32,"2005-2010"
32,"2010-2015"
32,"2015-2020"
32,"2020-2025"
32,"2025-2030"
32,"2030-2035"
32,"2035-2040"
32,"2040-2045"
32,"2045-2050"
51,"1950-1955"
51,"1955-1960"
51,"1960-1965"
51,"1965-1970"
51,"1970-1975"
51,"1975-1980"
51,"1980-1985"
51,"1985-1990"
51,"1990-1995"
51,"1995-2000"
51,"2000-2005"
51,"2005-2010"
51,"2010-2015"
51,"2015-2020"
51,"2020-2025"
51,"2025-2030"
51,"2030-2035"
51,"2035-2040"
51,"2040-2045"
51,"2045-2050"
533,"1950-1955"
533,"1955-1960"
533,"1960-1965"
533,"1965-1970"
533,"1970-1975"
533,"1975-1980"
533,"1980-1985"
533,"1985-1990"
533,"1990-1995"
533,"1995-2000"
533,"2000-2005"
533,"2005-2010"
533,"2010-2015"
533,"2015-2020"
533,"2020-2025"
533,"2025-2030"
533,"2030-2035"
533,"2035-2040"
533,"2040-2045"
533,"2045-2050"
935,"1950-1955"
935,"1955-1960"
935,"1960-1965"
935,"1965-1970"
935,"1970-1975"
935,"1975-1980"
935,"1980-1985"
935,"1985-1990"
935,"1990-1995"
935,"1995-2000"
935,"2000-2005"
935,"2005-2010"
935,"2010-2015"
935,"2015-2020"
935,"2020-2025"
935,"2025-2030"
935,"2030-2035"
935,"2035-2040"
935,"2040-2045"
935,"2045-2050"
36,"1950-1955"
36,"1955-1960"
36,"1960-1965"
36,"1965-1970"
36,"1970-1975"
36,"1975-1980"
36,"1980-1985"
36,"1985-1990"
36,"1990-1995"
36,"1995-2000"
36,"2000-2005"
36,"2005-2010"
36,"2010-2015"
36,"2015-2020"
36,"2020-2025"
36,"2025-2030"
36,"2030-2035"
36,"2035-2040"
36,"2040-2045"
36,"2045-2050"
927,"1950-1955"
927,"1955-1960"
927,"1960-1965"
927,"1965-1970"
927,"1970-1975"
927,"1975-1980"
927,"1980-1985"
927,"1985-1990"
927,"1990-1995"
927,"1995-2000"
927,"2000-2005"
927,"2005-2010"
927,"2010-2015"
927,"2015-2020"
927,"2020-2025"
927,"2025-2030"
927,"2030-2035"
927,"2035-2040"
927,"2040-2045"
927,"2045-2050"
40,"1950-1955"
40,"1955-1960"
40,"1960-1965"
40,"1965-1970"
40,"1970-1975"
40,"1975-1980"
40,"1980-1985"
40,"1985-1990"
40,"1990-1995"
40,"1995-2000"
40,"2000-2005"
40,"2005-2010"
40,"2010-2015"
40,"2015-2020"
40,"2020-2025"
40,"2025-2030"
40,"2030-2035"
40,"2035-2040"
40,"2040-2045"
40,"2045-2050"
31,"1950-1955"
31,"1955-1960"
31,"1960-1965"
31,"1965-1970"
31,"1970-1975"
31,"1975-1980"
31,"1980-1985"
31,"1985-1990"
31,"1990-1995"
31,"1995-2000"
31,"2000-2005"
31,"2005-2010"
31,"2010-2015"
31,"2015-2020"
31,"2020-2025"
31,"2025-2030"
31,"2030-2035"
31,"2035-2040"
31,"2040-2045"
31,"2045-2050"
44,"1950-1955"
44,"1955-1960"
44,"1960-1965"
44,"1965-1970"
44,"1970-1975"
44,"1975-1980"
44,"1980-1985"
44,"1985-1990"
44,"1990-1995"
44,"1995-2000"
44,"2000-2005"
44,"2005-2010"
44,"2010-2015"
44,"2015-2020"
44,"2020-2025"
44,"2025-2030"
44,"2030-2035"
44,"2035-2040"
44,"2040-2045"
44,"2045-2050"
48,"1950-1955"
48,"1955-1960"
48,"1960-1965"
48,"1965-1970"
48,"1970-1975"
48,"1975-1980"
48,"1980-1985"
48,"1985-1990"
48,"1990-1995"
48,"1995-2000"
48,"2000-2005"
48,"2005-2010"
48,"2010-2015"
48,"2015-2020"
48,"2020-2025"
48,"2025-2030"
48,"2030-2035"
48,"2035-2040"
48,"2040-2045"
48,"2045-2050"
50,"1950-1955"
50,"1955-1960"
50,"1960-1965"
50,"1965-1970"
50,"1970-1975"
50,"1975-1980"
50,"1980-1985"
50,"1985-1990"
50,"1990-1995"
50,"1995-2000"
50,"2000-2005"
50,"2005-2010"
50,"2010-2015"
50,"2015-2020"
50,"2020-2025"
50,"2025-2030"
50,"2030-2035"
50,"2035-2040"
50,"2040-2045"
50,"2045-2050"
52,"1950-1955"
52,"1955-1960"
52,"1960-1965"
52,"1965-1970"
52,"1970-1975"
52,"1975-1980"
52,"1980-1985"
52,"1985-1990"
52,"1990-1995"
52,"1995-2000"
52,"2000-2005"
52,"2005-2010"
52,"2010-2015"
52,"2015-2020"
52,"2020-2025"
52,"2025-2030"
52,"2030-2035"
52,"2035-2040"
52,"2040-2045"
52,"2045-2050"
112,"1950-1955"
112,"1955-1960"
112,"1960-1965"
112,"1965-1970"
