Q1560Male
185.9613
186.6252
187.5468
188.4414
189.3232
190.1603
191.0943
192.1384
193.2148
194.3094
195.3777
196.4271
197.4367
198.3445
199.1615
199.9171
200.6328
201.372
202.1412
202.9338
203.7794
204.5657
205.2829
206.0591
206.9112
207.8545
208.8412
209.8644
210.9836
212.0454
212.9632
213.8418
214.6955
215.5186
216.3107
217.0742
217.8031
218.4977
219.1889
219.8439
220.4315
220.9885
221.5413
222.1047
222.6886
223.2979
223.928
224.5741
225.2259
225.8723
226.559
227.2736
228.0068
228.7542
229.5162
230.3347
231.0857
231.7237
232.2594
232.6665
233.0174
233.3536
233.6754
233.9804
234.268
234.5396
234.7946
235.0347
235.26
235.4723
235.6733
235.8649
236.0475
236.2229
236.3957
236.5693
236.7459
236.9277
237.1156
NA
335.9621
335.899
335.8049
335.6766
335.5135
335.3212
335.1083
334.8903
334.6858
334.5078
334.3696
334.2808
334.2432
334.2478
334.2708
334.2897
334.2865
334.2477
334.1674
334.0548
333.9196
333.7644
333.5926
333.4085
333.2065
332.9846
332.7538
332.5237
332.3105
332.1173
331.9342
331.7599
331.597
331.4482
331.3183
331.2072
331.1045
331.0062
330.9194
330.8442
330.7788
330.7137
330.6379
330.5528
330.4585
330.3519
330.2211
330.0761
329.9337
329.7886
329.6372
329.4819
329.3307
329.1905
329.0642
328.9423
328.8171
328.6916
328.5711
328.4575
328.3478
328.2399
328.1318
328.0239
327.916
327.8081
327.7014
327.5952
327.4878
327.3788
327.2687
327.1576
327.0463
326.9345
326.8223
326.7099
326.5975
326.4871
326.3787
NA
150.8027
151.0427
151.3539
151.7073
152.0785
152.44
152.8563
153.2898
153.6939
154.1351
154.609
155.123
155.689
156.2955
156.9458
157.6338
158.345
159.0787
159.8376
160.6231
161.4179
162.1942
162.9361
163.639
164.2971
164.9071
165.4775
166.0205
166.5402
167.0341
167.4766
167.8756
168.27
168.6587
169.045
169.4201
169.7359
169.9842
170.1839
170.358
170.5031
170.6109
170.7286
170.8765
171.0598
171.2826
171.5355
171.8122
172.0865
172.3511
172.6098
172.8441
173.0558
173.2644
173.5201
173.831
174.1452
174.4641
174.7865
175.0879
175.3687
175.6329
175.8769
176.1016
176.3042
176.4846
176.6449
176.7828
176.9012
177.0027
177.0831
177.1405
177.1785
177.2031
177.2166
177.2286
177.2421
177.2538
177.2718
NA
227.8627
227.8142
227.7621
227.7147
227.6837
227.6695
227.6689
227.6798
227.6938
227.7109
227.7238
227.7205
227.7026
227.6832
227.6725
227.6757
227.7016
227.7516
227.8212
227.9067
228.0022
228.1045
228.2173
228.3411
228.4643
228.5815
228.7002
228.8297
228.9673
229.0951
229.1967
229.2718
229.3269
229.3572
229.3644
229.3659
229.3697
229.374
229.3771
229.3756
229.3746
229.3782
229.3848
229.394
229.4059
229.4186
229.4274
229.4245
229.4083
229.3873
229.3749
229.3816
229.4143
229.4608
229.5082
229.5654
229.6276
229.6864
229.7444
229.7996
229.8493
229.8939
229.934
229.9698
230.0014
230.0289
230.0512
230.0699
230.0838
230.094
230.1018
230.1068
230.1114
230.1149
230.117
230.117
230.1147
230.1131
230.1135
NA
127.2836
127.6029
127.9697
128.2932
128.5807
128.8308
129.1672
129.5791
130.0223
130.4895
130.9439
131.3934
131.8188
132.1572
132.4059
132.5843
132.7052
132.8409
133.0129
133.2084
133.4507
133.647
133.7847
133.9992
134.3292
134.7734
135.2566
135.7673
136.3652
136.9049
137.3001
137.6596
137.9959
138.3093
138.5882
138.8253
139.0304
139.2208
139.4415
139.657
139.8232
139.9798
140.1495
140.3345
140.5368
140.7699
141.049
141.3819
141.7433
142.104
142.5308
143.024
143.5631
144.1423
144.7783
145.5176
146.1934
146.727
147.1094
147.2742
147.3459
147.4139
147.4814
147.5416
147.5916
147.6364
147.6726
147.7008
147.7226
147.7371
147.7504
147.7645
147.7787
147.7957
147.8183
147.8569
147.9201
148.0089
148.1235
NA
195.2221
195.3892
195.5707
195.7546
195.9352
196.1095
196.2766
196.4367
196.5892
196.7345
196.8736
197.0046
197.1263
197.2388
197.344
197.4389
197.5216
197.595
197.6596
197.7178
197.7768
197.8387
197.9046
197.977
198.0532
198.1297
198.2081
198.2903
198.376
198.4646
198.5521
198.6362
198.7191
198.7993
198.8757
198.9487
199.0163
199.0787
199.137
199.1916
199.2441
199.2932
