"ASFR"
43.021
161.979
173.661
139.756
93.59
40.734
11.674
27.283
121.352
132.313
105.641
68.701
27.882
7.168
18.17
92.733
105.469
84.683
53.473
20.183
4.558
13.467
77.281
92.357
74.625
45.945
16.207
3.172
10.35
64.973
84.266
68.014
40.991
13.75
2.268
8.443
55.62
77.663
63.452
37.472
11.89
1.587
7.125
48.875
72.751
60.442
35.063
10.534
1.181
6.316
43.516
68.484
57.633
32.879
9.424
0.856
5.369
40.499
63.759
54.624
30.712
8.387
0.788
4.733
38.949
60.628
52.905
29.36
7.733
0.75
4.241
37.191
58.152
51.755
28.365
7.183
0.715
3.881
35.614
56.528
51.365
27.932
6.804
0.667
3.628
33.839
56.099
51.36
27.644
6.551
0.612
3.419
32.415
55.254
51.651
27.632
6.366
0.569
3.338
31.029
55.407
53.18
28.328
6.366
0.534
3.293
28.754
55.722
55.227
29.263
6.422
0.497
84.54
182.411
194.563
158.606
113.698
49.497
14.758
75.032
166.908
180.137
145.424
104.494
43.444
12.518
66.399
151.937
166.159
133.792
96.549
38.518
10.668
59.28
138.614
153.58
123.653
89.547
34.58
9.264
53.608
127.829
143.742
115.275
83.743
31.288
8.187
48.575
119.207
136.036
109.353
78.964
28.581
7.235
44.046
111.766
130.315
104.823
75.086
26.186
6.377
40.111
104.971
125.827
101.775
72.226
24.27
5.65
36.599
99.096
122.014
99.62
70.243
22.826
5.028
33.27
93.594
118.66
98.144
68.558
21.501
4.451
30.312
88.427
115.639
97.215
67.285
20.393
3.941
27.676
83.979
113.424
96.774
66.17
19.386
3.51
25.22
79.553
111.568
96.394
65.25
18.5
3.083
22.83
75.068
109.629
96.961
64.532
17.706
2.687
20.458
70.906
108.131
98.325
64.106
17.001
2.343
18.348
66.984
106.651
99.901
63.56
16.325
2.03
15.294
70.578
83.412
54.474
20.203
3.026
0.188
6.713
39.395
70.185
48.41
18.321
2.577
0.129
6.502
38.073
59.772
43.399
16.781
2.244
0.092
6.238
36.297
53.383
40.69
16.105
2.063
0.072
6.107
34.964
49.114
39.325
15.871
1.982
0.061
5.929
33.38
46.541
39.225
16.197
1.977
0.054
5.776
32.329
46.32
40.707
17.212
2.084
0.053
5.683
31.834
46.419
42.754
18.527
2.254
0.054
5.625
30.82
47.138
45.52
20.128
2.465
0.057
5.445
30.261
49.121
49.06
22.302
2.793
0.062
5.408
30.397
51.522
53.856
25.19
3.295
0.072
5.391
30.286
53.483
57.836
27.798
3.772
0.083
5.371
29.549
54.785
61.427
30.186
4.284
0.101
5.117
28.329
56.384
65.369
32.993
4.981
0.132
4.811
27.141
58.841
70.037
36.352
5.826
0.179
4.339
25.24
59.714
73.048
38.705
6.63
0.241
7.502
71.071
119.832
124.763
95.806
44.653
6.345
6.487
63.165
106.638
111.634
83.576
39.488
5.463
5.781
56.888
97.227
102.563
74.653
34.558
4.509
5.244
51.148
90.12
95.643
67.955
29.734
3.484
4.784
46.66
83.234
88.915
61.88
25.04
2.584
4.486
43.936
79.106
85.249
57.942
20.878
1.786
4.167
41.704
74.279
80.392
53.803
18.184
1.264
4.033
39.843
72.039
78.973
51.546
15.446
0.847
3.926
38.651
70.572
77.674
49.915
14.971
0.822
3.869
37.198
69.275
76.793
48.481
14.565
0.801
3.828
36.326
68.443
76.452
47.619
14.234
0.788
3.905
35.843
69.513
78.313
48.005
13.95
0.774
3.98
35.704
70.449
80.261
48.725
13.637
0.753
4.077
35.629
72.271
81.632
49.444
13.325
0.739
4.145
35.521
72.706
82.769
49.867
13.131
0.727
4.26
35.347
73.946
84.628
50.385
12.956
0.715
126.884
206.401
218.033
194.116
138.484
63.285
14.323
109.132
182.539
194.876
173.902
123.471
55.971
12.576
92.152
159.044
172.42
154.577
108.996
48.828
10.822
76.706
137.597
151.17
136.547
95.445
42.24
9.131
63.672
119.25
133.891
121.977
84.559
36.666
7.704
53.663
104.924
120.69
110.485
76.074
32.401
6.543
45.657
93.221
110.683
102.248
69.677
28.791
5.589
39.014
83.777
102.377
95.691
64.484
26.027
4.791
33.43
76.172
97.098
93.024
61.424
23.786
4.111
27.988
68.835
92.678
89.921
58.637
21.606
3.445
23.674
62.807
89.204
88.166
56.766
19.86
2.908
19.916
57.37
85.204
